OpportunityID,AccountName,Industry,Stage,Region,SalesRep,Product,ExpectedRevenue,Probability,CreatedDate,CloseDate
1,Soylent,Healthcare,Proposal,Asia,Bob,CRM System,37792,84,2024-05-03,2024-05-13
2,Wayne Enterprises,Retail,Prospecting,Middle East,Charlie,CRM System,69325,69,2024-06-21,2024-09-08
3,Hooli,Manufacturing,Negotiation,Middle East,David,Analytics Suite,148765,94,2024-08-27,2024-11-13
4,Acme Corp,Technology,Proposal,South America,Bob,Cloud Platform,137616,22,2024-04-15,2024-06-04
5,Umbrella,Healthcare,Proposal,South America,Bob,CRM System,95824,91,2024-06-19,2024-08-12
6,Umbrella,Retail,Closed Lost,Europe,Frank,Analytics Suite,116905,83,2024-03-20,2024-04-11
7,Umbrella,Manufacturing,Proposal,Europe,David,Security Package,50125,79,2024-07-16,2024-07-31
8,Wayne Enterprises,Retail,Proposal,Middle East,Frank,AI Module,39400,76,2024-08-01,2024-08-20
9,Globex,Technology,Closed Won,South America,Frank,Security Package,91827,75,2024-10-11,2024-11-18
10,Umbrella,Healthcare,Negotiation,South America,Eva,AI Module,15611,66,2024-10-21,2024-11-01
11,Hooli,Retail,Closed Lost,Middle East,Charlie,Analytics Suite,34070,29,2024-01-20,2024-05-03
12,Initech,Retail,Proposal,South America,Alice,Security Package,80100,30,2024-03-17,2024-04-19
13,Soylent,Retail,Qualification,North America,Alice,Analytics Suite,143704,47,2024-05-17,2024-08-15
14,Wayne Enterprises,Finance,Proposal,Asia,Alice,AI Module,74941,21,2024-01-27,2024-02-21
15,Stark Industries,Retail,Closed Lost,North America,Alice,CRM System,112549,28,2024-05-28,2024-07-15
16,Acme Corp,Healthcare,Closed Won,North America,Alice,Analytics Suite,82778,44,2024-02-06,2024-04-22
17,Acme Corp,Healthcare,Negotiation,North America,Eva,Cloud Platform,34533,64,2024-06-08,2024-09-21
18,Soylent,Healthcare,Negotiation,South America,Charlie,CRM System,113666,35,2024-10-24,2025-02-02
19,Initech,Manufacturing,Proposal,Middle East,Bob,CRM System,144395,92,2024-07-31,2024-11-16
20,Globex,Retail,Proposal,Europe,Alice,Cloud Platform,20338,53,2024-05-24,2024-07-27
21,Stark Industries,Technology,Qualification,Asia,David,Security Package,180178,55,2024-06-08,2024-08-19
22,Wayne Enterprises,Manufacturing,Negotiation,Asia,Alice,Cloud Platform,131375,58,2024-02-17,2024-06-02
23,Wayne Enterprises,Finance,Negotiation,North America,Eva,CRM System,95208,19,2024-08-31,2024-09-28
24,Stark Industries,Healthcare,Negotiation,Europe,Charlie,Security Package,72854,37,2024-04-12,2024-07-07
25,Acme Corp,Finance,Prospecting,Middle East,David,Security Package,65895,33,2024-02-06,2024-03-14
26,Globex,Manufacturing,Negotiation,Europe,Alice,AI Module,122602,11,2024-08-29,2024-10-25
27,Hooli,Finance,Negotiation,Europe,Eva,Cloud Platform,78534,64,2024-05-31,2024-09-03
28,Globex,Manufacturing,Qualification,Asia,Alice,CRM System,166597,29,2024-10-09,2025-01-16
29,Hooli,Finance,Closed Lost,South America,Alice,Analytics Suite,12525,16,2024-02-18,2024-04-10
30,Acme Corp,Healthcare,Qualification,North America,David,AI Module,57109,38,2024-04-27,2024-08-06
31,Globex,Retail,Closed Lost,South America,Eva,Analytics Suite,193306,90,2024-06-07,2024-08-05
32,Soylent,Healthcare,Closed Won,Asia,Charlie,Security Package,130265,59,2024-04-29,2024-06-18
33,Umbrella,Healthcare,Qualification,Europe,Eva,CRM System,32965,53,2024-03-20,2024-05-28
34,Acme Corp,Healthcare,Negotiation,North America,Charlie,CRM System,188586,41,2024-07-13,2024-07-29
35,Umbrella,Retail,Negotiation,Middle East,Charlie,Cloud Platform,39290,75,2024-03-05,2024-04-25
36,Hooli,Healthcare,Negotiation,Middle East,Charlie,CRM System,93651,34,2024-06-05,2024-06-21
37,Stark Industries,Manufacturing,Qualification,Europe,Charlie,CRM System,85003,44,2024-08-16,2024-12-05
38,Wayne Enterprises,Finance,Proposal,South America,Eva,Cloud Platform,93177,52,2024-04-13,2024-04-26
39,Wayne Enterprises,Retail,Closed Lost,South America,David,Cloud Platform,181162,85,2024-08-26,2024-11-27
40,Acme Corp,Technology,Prospecting,North America,Charlie,CRM System,72272,50,2024-07-05,2024-10-09
41,Initech,Manufacturing,Closed Won,Asia,Bob,CRM System,155990,10,2024-08-14,2024-08-25
42,Umbrella,Retail,Proposal,South America,Charlie,AI Module,97876,77,2024-02-15,2024-04-17
43,Acme Corp,Finance,Prospecting,Middle East,Bob,Analytics Suite,101215,76,2024-06-12,2024-09-16
44,Globex,Retail,Qualification,Middle East,Alice,AI Module,62809,76,2024-02-23,2024-06-10
45,Umbrella,Manufacturing,Closed Lost,Middle East,Charlie,AI Module,55400,55,2024-07-24,2024-10-03
46,Hooli,Manufacturing,Closed Won,South America,Bob,Security Package,132153,91,2024-07-26,2024-09-28
47,Umbrella,Technology,Closed Won,Europe,Charlie,CRM System,42387,22,2024-08-30,2024-11-09
48,Umbrella,Healthcare,Qualification,South America,Eva,AI Module,158192,97,2024-08-24,2024-10-07
